onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
10.724	0	5362	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
19.150	0	9575	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
25.344	0	12672	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
34.154	0	17077	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
43.914	0	21957	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
55.404	0	27702	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
75.770	0	37885	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
75.788	0	37894	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
172.124	0	86062	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
172.140	0	86070	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
472.242	0	236121	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
580.286	0	290143	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
580.320	0	290160	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
880.354	0	440177	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
880.356	0	440178	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
888.066	0	444033	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
888.630	0	444315	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
889.280	0	444640	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
889.412	0	444706	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-3	3	n/a	n/a	n/a	n/a
896.758	0	448379	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
897.406	0	448703	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
898.056	0	449028	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
898.706	0	449353	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
899.470	0	449735	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
900.520	0	450260	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1028.316	0	514158	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1028.372	0	514186	silent_emerge_begin	silent_emerge	block-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1028.372	0	514186	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1028.372	0	514186	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
