onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
6.094	0	3047	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
15.336	0	7668	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
26.876	0	13438	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
39.998	0	19999	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
60.464	0	30232	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
70.856	0	35428	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
79.550	0	39775	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
79.600	0	39800	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
164.478	0	82239	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
164.496	0	82248	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
464.598	0	232299	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
482.166	0	241083	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
482.232	0	241116	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
782.334	0	391167	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
782.334	0	391167	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
790.112	0	395056	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
790.994	0	395497	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
791.360	0	395680	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-2	2	n/a	n/a	n/a	n/a
793.024	0	396512	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
797.704	0	398852	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
798.004	0	399002	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
798.304	0	399152	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
798.604	0	399302	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
798.904	0	399452	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
801.618	0	400809	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-6	n/a	6	n/a	n/a	n/a
802.666	0	401333	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
916.722	0	458361	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
916.778	0	458389	sapo_emerge_begin	sapo_emerge	block-sapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
916.794	0	458397	subblock_begin	sapo_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
916.794	0	458397	silence_begin	sapo_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
916.806	0	458403	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
917.822	0	458911	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
918.838	0	459419	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
919.852	0	459926	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
920.852	0	460426	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
921.868	0	460934	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
922.884	0	461442	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
923.900	0	461950	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
924.898	0	462449	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
925.914	0	462957	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
926.930	0	463465	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
927.946	0	463973	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
928.946	0	464473	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
929.962	0	464981	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
930.978	0	465489	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
931.992	0	465996	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
933.008	0	466504	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
934.024	0	467012	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
935.040	0	467520	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
936.056	0	468028	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
937.072	0	468536	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
937.540	0	468770	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
937.572	0	468786	report_window_begin	sapo_emerge	emerge-sapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
941.618	0	470809	depth_rating	sapo_emerge	rating-sapo-emerge-meditation_depth-1	1	n/a	n/a	n/a	n/a
947.714	0	473857	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
948.214	0	474107	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
948.614	0	474307	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
948.946	0	474473	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
949.246	0	474623	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
951.910	0	475955	confidence_rating	sapo_emerge	rating-sapo-emerge-confidence_depth-5	n/a	5	n/a	n/a	n/a
955.458	0	477729	report_window_end	sapo_emerge	emerge-sapo-emerge-end	n/a	n/a	n/a	n/a	n/a
955.458	0	477729	subblock_begin	sapo_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
955.460	0	477730	silence_begin	sapo_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
955.460	0	477730	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
956.472	0	478236	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
957.488	0	478744	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
958.504	0	479252	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
959.520	0	479760	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
960.536	0	480268	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
961.552	0	480776	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
962.568	0	481284	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
963.584	0	481792	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
964.600	0	482300	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
965.616	0	482808	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
966.632	0	483316	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
967.646	0	483823	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
968.662	0	484331	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
969.678	0	484839	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
970.694	0	485347	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
971.710	0	485855	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
972.726	0	486363	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
973.742	0	486871	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
974.758	0	487379	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
975.774	0	487887	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
976.790	0	488395	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
977.806	0	488903	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
978.820	0	489410	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
979.836	0	489918	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
980.836	0	490418	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
981.852	0	490926	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
982.868	0	491434	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
983.884	0	491942	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
984.900	0	492450	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
985.914	0	492957	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
986.930	0	493465	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
987.946	0	493973	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
988.962	0	494481	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
989.978	0	494989	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
990.994	0	495497	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
992.010	0	496005	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
993.026	0	496513	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
994.042	0	497021	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
995.058	0	497529	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
996.074	0	498037	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
997.090	0	498545	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
998.104	0	499052	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
999.120	0	499560	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1000.136	0	500068	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1001.152	0	500576	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1002.168	0	501084	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1003.184	0	501592	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1004.200	0	502100	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1005.216	0	502608	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1006.232	0	503116	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1007.248	0	503624	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1008.264	0	504132	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1009.278	0	504639	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1010.296	0	505148	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1011.310	0	505655	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1012.326	0	506163	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1013.342	0	506671	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1014.358	0	507179	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1015.374	0	507687	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1016.390	0	508195	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1017.406	0	508703	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1018.422	0	509211	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1019.072	0	509536	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1019.272	0	509636	report_window_begin	sapo_emerge	emerge-sapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1019.406	0	509703	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1023.284	0	511642	depth_rating	sapo_emerge	rating-sapo-emerge-meditation_depth-2	2	n/a	n/a	n/a	n/a
1026.084	0	513042	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1026.384	0	513192	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1026.632	0	513316	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1026.932	0	513466	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1027.182	0	513591	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1027.748	0	513874	clicker_press	sapo_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1033.510	0	516755	confidence_rating	sapo_emerge	rating-sapo-emerge-confidence_depth-6	n/a	6	n/a	n/a	n/a
