onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
10.024	0	5012	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
33.254	0	16627	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
46.442	0	23221	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
66.326	0	33163	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
85.378	0	42689	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
115.486	0	57743	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
175.502	0	87751	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
175.522	0	87761	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
295.270	0	147635	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
295.286	0	147643	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
595.306	0	297653	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
663.300	0	331650	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
663.316	0	331658	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
963.334	0	481667	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
963.334	0	481667	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
971.860	0	485930	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
972.392	0	486196	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-1	1	n/a	n/a	n/a	n/a
974.456	0	487228	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
975.606	0	487803	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
980.652	0	490326	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
981.934	0	490967	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
982.418	0	491209	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
983.466	0	491733	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1144.334	0	572167	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1144.424	0	572212	silent_emerge_begin	silent_emerge	block-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1144.424	0	572212	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1144.424	0	572212	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1256.058	0	628029	silence_end	silent_emerge	silence-end	n/a	n/a	n/a	n/a	n/a
1256.274	0	628137	gong_begin	silent_emerge	gong-begin	n/a	n/a	n/a	n/a	n/a
1266.150	0	633075	gong_end	silent_emerge	gong-end	n/a	n/a	n/a	n/a	n/a
1266.150	0	633075	subblock_end	silent_emerge	subblock-end-duration-121.726	n/a	n/a	n/a	121.726	n/a
1266.150	0	633075	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1266.150	0	633075	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1350.362	0	675181	clicker_press	silent_emerge	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1350.446	0	675223	report_window_begin	silent_emerge	emerge-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
