onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
8.542	0	4271	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
25.978	0	12989	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
42.230	0	21115	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
61.332	0	30666	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
72.388	0	36194	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
88.258	0	44129	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
107.560	0	53780	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
107.610	0	53805	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
161.832	0	80916	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
161.848	0	80924	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
461.916	0	230958	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
541.986	0	270993	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
542.034	0	271017	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
842.068	0	421034	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
842.068	0	421034	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
848.714	0	424357	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
849.528	0	424764	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
851.160	0	425580	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-2	2	n/a	n/a	n/a	n/a
857.588	0	428794	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
858.538	0	429269	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
859.304	0	429652	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
860.452	0	430226	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
861.202	0	430601	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
862.234	0	431117	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
934.148	0	467074	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
934.248	0	467124	silent_emerge_begin	silent_emerge	block-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
934.248	0	467124	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
934.250	0	467125	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1032.344	0	516172	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1032.410	0	516205	report_window_begin	silent_emerge	emerge-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1033.310	0	516655	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1034.192	0	517096	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1036.440	0	518220	depth_rating	silent_emerge	rating-nosapo-emerge-meditation_depth-3	3	n/a	n/a	n/a	n/a
1043.368	0	521684	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1044.184	0	522092	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1045.050	0	522525	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1045.866	0	522933	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1046.502	0	523251	confidence_rating	silent_emerge	rating-nosapo-emerge-confidence_depth-4	n/a	4	n/a	n/a	n/a
1049.978	0	524989	report_window_end	silent_emerge	emerge-nosapo-emerge-end	n/a	n/a	n/a	n/a	n/a
1049.980	0	524990	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1049.980	0	524990	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1153.060	0	576530	silence_end	silent_emerge	silence-end	n/a	n/a	n/a	n/a	n/a
1153.062	0	576531	gong_begin	silent_emerge	gong-begin	n/a	n/a	n/a	n/a	n/a
1163.118	0	581559	gong_end	silent_emerge	gong-end	n/a	n/a	n/a	n/a	n/a
1163.120	0	581560	subblock_end	silent_emerge	subblock-end-duration-113.14	n/a	n/a	n/a	113.140	n/a
1163.120	0	581560	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1163.120	0	581560	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1207.398	0	603699	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1207.548	0	603774	report_window_begin	silent_emerge	emerge-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1208.832	0	604416	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1211.562	0	605781	depth_rating	silent_emerge	rating-nosapo-emerge-meditation_depth-2	2	n/a	n/a	n/a	n/a
1218.008	0	609004	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1218.890	0	609445	clicker_press	silent_emerge	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
