onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
12.390	0	6195	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
32.206	0	16103	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
45.262	0	22631	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
79.518	0	39759	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
86.112	0	43056	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
101.034	0	50517	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
128.142	0	64071	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
128.178	0	64089	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
198.204	0	99102	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
198.222	0	99111	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
498.372	0	249186	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
558.172	0	279086	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
558.238	0	279119	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
858.474	0	429237	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
858.474	0	429237	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
865.752	0	432876	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
866.134	0	433067	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
866.482	0	433241	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
866.932	0	433466	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
867.548	0	433774	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-4	4	n/a	n/a	n/a	n/a
874.210	0	437105	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
874.642	0	437321	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
875.010	0	437505	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
875.392	0	437696	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
877.690	0	438845	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
878.740	0	439370	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
954.546	0	477273	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
954.650	0	477325	silent_emerge_begin	silent_emerge	block-nosapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
954.650	0	477325	subblock_begin	silent_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
954.650	0	477325	silence_begin	silent_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
