onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
6.044	0	3022	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
13.872	0	6936	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
23.180	0	11590	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
35.918	0	17959	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
49.658	0	24829	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
62.182	0	31091	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
73.806	0	36903	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
73.856	0	36928	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
153.956	0	76978	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
153.974	0	76987	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
454.006	0	227003	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
513.420	0	256710	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
513.440	0	256720	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
813.442	0	406721	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
813.442	0	406721	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
820.172	0	410086	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
820.820	0	410410	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
821.420	0	410710	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
822.468	0	411234	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-3	3	n/a	n/a	n/a	n/a
828.680	0	414340	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
828.964	0	414482	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
829.380	0	414690	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
829.812	0	414906	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
830.230	0	415115	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
832.544	0	416272	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-5	n/a	5	n/a	n/a	n/a
833.576	0	416788	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
891.628	0	445814	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
891.718	0	445859	silent_probe_begin	silent_probe	block-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
891.718	0	445859	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
891.718	0	445859	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
996.658	0	498329	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
996.660	0	498330	subblock_end	silent_probe	subblock-end-duration-104.941	n/a	n/a	n/a	104.941	n/a
996.660	0	498330	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
996.660	0	498330	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1075.742	0	537871	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1082.188	0	541094	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1084.784	0	542392	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-1	1	n/a	n/a	n/a	n/a
1090.814	0	545407	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1091.114	0	545557	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1091.480	0	545740	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1091.780	0	545890	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1092.180	0	546090	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1094.994	0	547497	confidence_rating	silent_probe	rating-nosapo-probe-confidence_depth-5	n/a	5	n/a	n/a	n/a
1098.474	0	549237	prompt_window_end	silent_probe	probe-nosapo-probe-end	n/a	n/a	n/a	n/a	n/a
1121.554	0	560777	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1121.556	0	560778	subblock_end	silent_probe	subblock-end-duration-124.897	n/a	n/a	n/a	124.897	n/a
1121.556	0	560778	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1121.556	0	560778	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1234.828	0	617414	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1234.828	0	617414	subblock_end	silent_probe	subblock-end-duration-113.272	n/a	n/a	n/a	113.272	n/a
1234.830	0	617415	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1234.830	0	617415	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1316.492	0	658246	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1323.038	0	661519	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1323.338	0	661669	clicker_press	silent_probe	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1325.520	0	662760	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-2	2	n/a	n/a	n/a	n/a
