onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
5.528	0	2764	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
16.268	0	8134	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
30.940	0	15470	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
40.016	0	20008	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
49.056	0	24528	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
61.698	0	30849	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
67.010	0	33505	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
67.062	0	33531	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
498.104	0	249052	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
498.120	0	249060	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
798.122	0	399061	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
874.218	0	437109	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
874.292	0	437146	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
1174.310	0	587155	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1174.312	0	587156	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
1182.378	0	591189	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1182.754	0	591377	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1183.204	0	591602	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1183.370	0	591685	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-3	3	n/a	n/a	n/a	n/a
1187.982	0	593991	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1188.866	0	594433	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1189.614	0	594807	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1190.298	0	595149	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1193.462	0	596731	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
1194.560	0	597280	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1310.198	0	655099	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
1310.222	0	655111	sapo_emerge_begin	sapo_emerge	block-sapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
1310.234	0	655117	subblock_begin	sapo_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
1310.236	0	655118	silence_begin	sapo_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
1310.236	0	655118	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1311.246	0	655623	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1312.262	0	656131	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1313.278	0	656639	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1314.296	0	657148	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1315.310	0	657655	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1316.326	0	658163	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1317.342	0	658671	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1318.358	0	659179	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1319.374	0	659687	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1320.390	0	660195	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1321.406	0	660703	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1322.420	0	661210	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1323.420	0	661710	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1324.436	0	662218	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1325.452	0	662726	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1326.468	0	663234	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1327.484	0	663742	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1328.500	0	664250	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1329.516	0	664758	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1330.540	0	665270	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1331.548	0	665774	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1332.562	0	666281	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1333.578	0	666789	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1334.594	0	667297	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1335.610	0	667805	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1336.626	0	668313	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1337.642	0	668821	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1338.642	0	669321	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1339.658	0	669829	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1340.672	0	670336	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1341.688	0	670844	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1342.688	0	671344	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1343.704	0	671852	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1344.718	0	672359	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1345.734	0	672867	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1346.750	0	673375	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1347.766	0	673883	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1348.782	0	674391	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1349.798	0	674899	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1350.814	0	675407	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1351.830	0	675915	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1352.846	0	676423	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1353.862	0	676931	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1354.878	0	677439	oddball_tone	sapo_emerge	oddball	n/a	n/a	n/a	n/a	n/a
1355.894	0	677947	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1356.910	0	678455	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1357.924	0	678962	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1358.940	0	679470	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1359.958	0	679979	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1360.972	0	680486	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1361.988	0	680994	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1363.004	0	681502	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1364.020	0	682010	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1365.020	0	682510	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1366.034	0	683017	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1367.050	0	683525	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1368.066	0	684033	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1369.082	0	684541	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1370.098	0	685049	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1371.114	0	685557	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1372.130	0	686065	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1373.146	0	686573	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1374.162	0	687081	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1375.178	0	687589	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1376.194	0	688097	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1377.208	0	688604	distractor_noise	sapo_emerge	distractor	n/a	n/a	n/a	n/a	n/a
1378.224	0	689112	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1379.240	0	689620	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1380.256	0	690128	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1381.272	0	690636	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1382.288	0	691144	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1383.304	0	691652	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1384.320	0	692160	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1385.336	0	692668	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1386.352	0	693176	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1387.368	0	693684	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1388.382	0	694191	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
1389.398	0	694699	standard_tone	sapo_emerge	standard	n/a	n/a	n/a	n/a	n/a
