name	type	units	status
Fp1	EEG	µV	good
Fp2	EEG	µV	good
F3	EEG	µV	good
F4	EEG	µV	good
C3	EEG	µV	good
C4	EEG	µV	good
P3	EEG	µV	good
P4	EEG	µV	good
O1	EEG	µV	good
O2	EEG	µV	good
F7	EEG	µV	good
F8	EEG	µV	good
T7	EEG	µV	good
T8	EEG	µV	good
P7	EEG	µV	good
P8	EEG	µV	good
Fz	EEG	µV	good
Cz	EEG	µV	good
Pz	EEG	µV	good
Iz	EEG	µV	good
FC1	EEG	µV	good
FC2	EEG	µV	good
CP1	EEG	µV	good
CP2	EEG	µV	good
FC5	EEG	µV	good
FC6	EEG	µV	good
CP5	EEG	µV	good
CP6	EEG	µV	good
TP9	EEG	µV	good
TP10	EEG	µV	good
FT9	EEG	µV	good
FT10	EEG	µV	good
F1	EEG	µV	good
F2	EEG	µV	good
C1	EEG	µV	good
C2	EEG	µV	good
P1	EEG	µV	good
P2	EEG	µV	good
AF3	EEG	µV	good
AF4	EEG	µV	good
FC3	EEG	µV	good
FC4	EEG	µV	good
CP3	EEG	µV	good
CP4	EEG	µV	good
PO3	EEG	µV	good
PO4	EEG	µV	good
F5	EEG	µV	good
F6	EEG	µV	good
C5	EEG	µV	good
C6	EEG	µV	good
P5	EEG	µV	good
P6	EEG	µV	good
AF7	EEG	µV	good
AF8	EEG	µV	good
FT7	EEG	µV	good
FT8	EEG	µV	good
TP7	EEG	µV	good
TP8	EEG	µV	good
PO7	EEG	µV	good
PO8	EEG	µV	good
Fpz	EEG	µV	good
CPz	EEG	µV	good
POz	EEG	µV	good
Oz	EEG	µV	good
EMG1	EMG	µV	good
EMG2	EMG	µV	good
EMG3	EMG	µV	good
EMG4	EMG	µV	good
ECG	ECG	µV	good
RESP	RESP	n/a	good
GSR	GSR	n/a	good
PPG	PPG	n/a	good
