onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
5.894	0	2947	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
15.220	0	7610	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
19.482	0	9741	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
29.158	0	14579	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
37.950	0	18975	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
45.910	0	22955	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
55.186	0	27593	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
55.204	0	27602	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
106.692	0	53346	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
106.726	0	53363	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
406.944	0	203472	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
481.074	0	240537	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
481.084	0	240542	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
781.134	0	390567	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
781.134	0	390567	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
790.130	0	395065	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-0	0	n/a	n/a	n/a	n/a
792.074	0	396037	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
793.190	0	396595	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
794.006	0	397003	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
796.904	0	398452	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
797.388	0	398694	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
797.836	0	398918	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
800.302	0	400151	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-6	n/a	6	n/a	n/a	n/a
801.318	0	400659	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
832.874	0	416437	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
832.946	0	416473	silent_probe_begin	silent_probe	block-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
832.948	0	416474	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
832.948	0	416474	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
950.868	0	475434	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
950.870	0	475435	subblock_end	silent_probe	subblock-end-duration-117.923	n/a	n/a	n/a	117.923	n/a
950.870	0	475435	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
950.872	0	475436	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1035.972	0	517986	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1044.998	0	522499	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-0	0	n/a	n/a	n/a	n/a
1055.074	0	527537	confidence_rating	silent_probe	rating-nosapo-probe-confidence_depth-0	n/a	0	n/a	n/a	n/a
1058.538	0	529269	prompt_window_end	silent_probe	probe-nosapo-probe-end	n/a	n/a	n/a	n/a	n/a
1089.544	0	544772	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1089.546	0	544773	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1099.720	0	549860	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1099.720	0	549860	subblock_end	silent_probe	subblock-end-duration-148.85	n/a	n/a	n/a	148.850	n/a
1099.722	0	549861	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1099.722	0	549861	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1204.300	0	602150	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1204.300	0	602150	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1214.408	0	607204	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1214.408	0	607204	subblock_end	silent_probe	subblock-end-duration-114.688	n/a	n/a	n/a	114.688	n/a
1214.410	0	607205	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1214.410	0	607205	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1241.552	0	620776	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1250.578	0	625289	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-0	0	n/a	n/a	n/a	n/a
1260.654	0	630327	confidence_rating	silent_probe	rating-nosapo-probe-confidence_depth-0	n/a	0	n/a	n/a	n/a
1264.100	0	632050	prompt_window_end	silent_probe	probe-nosapo-probe-end	n/a	n/a	n/a	n/a	n/a
1348.264	0	674132	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1348.264	0	674132	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1358.356	0	679178	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1358.356	0	679178	subblock_end	silent_probe	subblock-end-duration-143.948	n/a	n/a	n/a	143.948	n/a
1358.356	0	679178	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1358.358	0	679179	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1456.158	0	728079	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1465.200	0	732600	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-0	0	n/a	n/a	n/a	n/a
1475.442	0	737721	confidence_rating	silent_probe	rating-nosapo-probe-confidence_depth-0	n/a	0	n/a	n/a	n/a
1478.922	0	739461	prompt_window_end	silent_probe	probe-nosapo-probe-end	n/a	n/a	n/a	n/a	n/a
1481.986	0	740993	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1481.986	0	740993	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1492.096	0	746048	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1492.096	0	746048	subblock_end	silent_probe	subblock-end-duration-133.74	n/a	n/a	n/a	133.740	n/a
1492.096	0	746048	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1492.098	0	746049	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1603.602	0	801801	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1603.604	0	801802	subblock_end	silent_probe	subblock-end-duration-111.508	n/a	n/a	n/a	111.508	n/a
1603.604	0	801802	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1603.604	0	801802	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1668.982	0	834491	prompt_window_begin	silent_probe	probe-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1675.726	0	837863	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
1676.358	0	838179	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
1676.974	0	838487	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
1678.040	0	839020	depth_rating	silent_probe	rating-nosapo-probe-meditation_depth-3	3	n/a	n/a	n/a	n/a
1684.436	0	842218	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
1684.918	0	842459	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
1685.384	0	842692	clicker_press	silent_probe	response-received-page_down	n/a	n/a	n/a	n/a	page_down
