onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
6.578	0	3289	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
44.398	0	22199	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
52.556	0	26278	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
64.330	0	32165	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
76.170	0	38085	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
98.070	0	49035	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
109.128	0	54564	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
109.144	0	54572	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
141.900	0	70950	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
141.932	0	70966	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
440.918	0	220459	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
517.158	0	258579	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
517.188	0	258594	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
817.190	0	408595	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
817.192	0	408596	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
823.686	0	411843	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
824.184	0	412092	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
824.834	0	412417	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
826.232	0	413116	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-3	3	n/a	n/a	n/a	n/a
832.478	0	416239	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
832.944	0	416472	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
833.460	0	416730	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
834.076	0	417038	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
836.324	0	418162	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
837.340	0	418670	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
919.928	0	459964	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
919.954	0	459977	sapo_emerge_begin	sapo_emerge	block-sapo-emerge-begin	n/a	n/a	n/a	n/a	n/a
919.958	0	459979	subblock_begin	sapo_emerge	subblock-begin	n/a	n/a	n/a	n/a	n/a
919.958	0	459979	silence_begin	sapo_emerge	silence-begin	n/a	n/a	n/a	n/a	n/a
