onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
7.060	0	3530	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
13.388	0	6694	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
19.534	0	9767	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
27.976	0	13988	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
32.406	0	16203	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
38.950	0	19475	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
45.928	0	22964	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
45.998	0	22999	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
87.494	0	43747	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
87.626	0	43813	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
387.728	0	193864	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
446.214	0	223107	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
446.230	0	223115	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
746.264	0	373132	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
746.264	0	373132	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
753.492	0	376746	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
754.440	0	377220	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
755.306	0	377653	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-2	2	n/a	n/a	n/a	n/a
761.568	0	380784	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
762.468	0	381234	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
763.284	0	381642	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
764.032	0	382016	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
765.414	0	382707	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
766.448	0	383224	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
853.892	0	426946	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
853.914	0	426957	sapo_probe_begin	sapo_probe	block-sapo-probe-begin	n/a	n/a	n/a	n/a	n/a
853.928	0	426964	subblock_begin	sapo_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
853.928	0	426964	silence_begin	sapo_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
853.940	0	426970	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
