onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
14.952	0	7476	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
34.920	0	17460	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
50.290	0	25145	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
72.322	0	36161	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
87.442	0	43721	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
100.448	0	50224	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
120.432	0	60216	clicker_press	n/a	response-received-page_down	n/a	n/a	n/a	n/a	page_down
120.466	0	60233	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
194.418	0	97209	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
194.452	0	97226	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
494.472	0	247236	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
592.040	0	296020	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
592.058	0	296029	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
892.076	0	446038	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
892.076	0	446038	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
900.254	0	450127	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
900.950	0	450475	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
901.150	0	450575	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-2	2	n/a	n/a	n/a	n/a
907.696	0	453848	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
908.228	0	454114	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
908.728	0	454364	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
909.262	0	454631	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
911.260	0	455630	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
912.342	0	456171	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1077.016	0	538508	clicker_press	n/a	response-received-page_up	n/a	n/a	n/a	n/a	page_up
1077.022	0	538511	silent_probe_begin	silent_probe	block-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1077.022	0	538511	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1077.022	0	538511	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1184.616	0	592308	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1184.616	0	592308	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1194.692	0	597346	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1194.694	0	597347	subblock_end	silent_probe	subblock-end-duration-117.671	n/a	n/a	n/a	117.671	n/a
1194.694	0	597347	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
