onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
3.046	0	1523	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
9.210	0	4605	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
18.134	0	9067	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
23.414	0	11707	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
30.058	0	15029	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
36.570	0	18285	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
52.274	0	26137	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
52.340	0	26170	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
121.532	0	60766	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
121.550	0	60775	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
421.650	0	210825	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
488.002	0	244001	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
488.012	0	244006	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
788.030	0	394015	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
788.032	0	394016	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
794.392	0	397196	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
794.974	0	397487	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
795.440	0	397720	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
