onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
7.986	0	3993	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
14.914	0	7457	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
24.822	0	12411	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
35.930	0	17965	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
50.068	0	25034	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
63.076	0	31538	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
72.786	0	36393	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
72.794	0	36397	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
128.336	0	64168	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
128.370	0	64185	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
428.388	0	214194	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
492.222	0	246111	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
492.318	0	246159	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
792.336	0	396168	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
792.338	0	396169	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
799.498	0	399749	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
800.130	0	400065	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
800.712	0	400356	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
801.396	0	400698	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-3	3	n/a	n/a	n/a	n/a
808.374	0	404187	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
808.940	0	404470	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
809.506	0	404753	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
810.022	0	405011	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
810.638	0	405319	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
811.438	0	405719	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-5	n/a	5	n/a	n/a	n/a
812.470	0	406235	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
899.858	0	449929	clicker_press	n/a	response-received-arrow_down	n/a	n/a	n/a	n/a	arrow_down
899.882	0	449941	sapo_probe_begin	sapo_probe	block-sapo-probe-begin	n/a	n/a	n/a	n/a	n/a
899.884	0	449942	subblock_begin	sapo_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
899.884	0	449942	silence_begin	sapo_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
899.884	0	449942	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
900.896	0	450448	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
901.912	0	450956	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
902.928	0	451464	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
903.944	0	451972	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
904.960	0	452480	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
905.976	0	452988	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
906.992	0	453496	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
908.008	0	454004	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
909.022	0	454511	distractor_noise	sapo_probe	distractor	n/a	n/a	n/a	n/a	n/a
910.038	0	455019	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
911.054	0	455527	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
912.070	0	456035	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
913.086	0	456543	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
914.102	0	457051	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
915.120	0	457560	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
916.134	0	458067	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
917.150	0	458575	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
918.164	0	459082	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
919.180	0	459590	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
920.196	0	460098	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
921.212	0	460606	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
922.228	0	461114	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
923.244	0	461622	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
924.260	0	462130	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
925.276	0	462638	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
926.292	0	463146	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
927.308	0	463654	distractor_noise	sapo_probe	distractor	n/a	n/a	n/a	n/a	n/a
928.324	0	464162	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
929.340	0	464670	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
930.356	0	465178	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
931.370	0	465685	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
932.386	0	466193	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
933.402	0	466701	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
934.418	0	467209	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
935.434	0	467717	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
936.450	0	468225	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
937.466	0	468733	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
938.480	0	469240	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
939.498	0	469749	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
940.514	0	470257	distractor_noise	sapo_probe	distractor	n/a	n/a	n/a	n/a	n/a
941.528	0	470764	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
942.528	0	471264	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
943.542	0	471771	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
944.544	0	472272	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
945.558	0	472779	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
946.574	0	473287	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
947.574	0	473787	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
948.590	0	474295	distractor_noise	sapo_probe	distractor	n/a	n/a	n/a	n/a	n/a
949.606	0	474803	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
950.622	0	475311	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
951.638	0	475819	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
952.654	0	476327	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
953.670	0	476835	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
954.686	0	477343	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
955.702	0	477851	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
956.716	0	478358	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
957.732	0	478866	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
958.748	0	479374	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
959.764	0	479882	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
960.780	0	480390	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
961.796	0	480898	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
962.812	0	481406	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
963.828	0	481914	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
964.844	0	482422	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
965.858	0	482929	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
966.874	0	483437	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
967.890	0	483945	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
968.906	0	484453	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
969.922	0	484961	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
970.938	0	485469	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
971.954	0	485977	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
972.970	0	486485	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
973.986	0	486993	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
975.002	0	487501	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
976.016	0	488008	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
977.016	0	488508	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
978.032	0	489016	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
979.048	0	489524	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
980.064	0	490032	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
981.080	0	490540	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
982.096	0	491048	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
983.112	0	491556	distractor_noise	sapo_probe	distractor	n/a	n/a	n/a	n/a	n/a
984.128	0	492064	oddball_tone	sapo_probe	oddball	n/a	n/a	n/a	n/a	n/a
985.142	0	492571	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
986.158	0	493079	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
987.174	0	493587	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
988.190	0	494095	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
989.190	0	494595	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
990.206	0	495103	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
991.222	0	495611	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
992.238	0	496119	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
993.252	0	496626	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
994.268	0	497134	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
995.284	0	497642	standard_tone	sapo_probe	standard	n/a	n/a	n/a	n/a	n/a
