onset	duration	sample	trial_type	block	value	depth	confidence	response_time	logged_duration	key
0.000	0	0	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
7.942	0	3971	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
30.324	0	15162	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
88.276	0	44138	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
125.246	0	62623	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
141.732	0	70866	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
163.530	0	81765	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
199.950	0	99975	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
200.002	0	100001	task_begin	n/a	task-begin	n/a	n/a	n/a	n/a	n/a
276.420	0	138210	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
276.434	0	138217	baseline_begin	baseline	baseline-begin	n/a	n/a	n/a	n/a	n/a
576.438	0	288219	baseline_end	baseline	baseline-end	n/a	n/a	n/a	n/a	n/a
810.444	0	405222	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
810.512	0	405256	pre_meditation_begin	pre_meditation	pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
1110.546	0	555273	pre_meditation_end	pre_meditation	pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1110.548	0	555274	prompt_window_begin	pre_meditation	probe-pre-meditation-begin	n/a	n/a	n/a	n/a	n/a
1118.642	0	559321	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1119.672	0	559836	depth_rating	pre_meditation	rating-pre-meditation-meditation_depth-1	1	n/a	n/a	n/a	n/a
1126.850	0	563425	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1127.582	0	563791	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1128.300	0	564150	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1129.114	0	564557	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1129.748	0	564874	confidence_rating	pre_meditation	rating-pre-meditation-confidence_depth-4	n/a	4	n/a	n/a	n/a
1130.764	0	565382	prompt_window_end	pre_meditation	probe-pre-meditation-end	n/a	n/a	n/a	n/a	n/a
1240.492	0	620246	clicker_press	n/a	response-received-arrow_up	n/a	n/a	n/a	n/a	arrow_up
1240.506	0	620253	silent_probe_begin	silent_probe	block-nosapo-probe-begin	n/a	n/a	n/a	n/a	n/a
1240.506	0	620253	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
1240.506	0	620253	silence_begin	silent_probe	silence-begin	n/a	n/a	n/a	n/a	n/a
1353.912	0	676956	silence_end	silent_probe	silence-end	n/a	n/a	n/a	n/a	n/a
1353.912	0	676956	gong_begin	silent_probe	gong-begin	n/a	n/a	n/a	n/a	n/a
1364.020	0	682010	gong_end	silent_probe	gong-end	n/a	n/a	n/a	n/a	n/a
1364.022	0	682011	subblock_end	silent_probe	subblock-end-duration-123.515	n/a	n/a	n/a	123.515	n/a
1364.022	0	682011	subblock_begin	silent_probe	subblock-begin	n/a	n/a	n/a	n/a	n/a
